gwcode,years,missing_values_in
560,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
565,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
570,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
571,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
572,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
580,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
581,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
590,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
591,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
600,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
615,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
616,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
620,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
625,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
626,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
630,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
640,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
645,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
651,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
652,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
660,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
663,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
666,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
670,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
678,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
690,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
692,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
694,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
696,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
698,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
700,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
701,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
702,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
703,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
704,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
705,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
710,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
712,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
713,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
731,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
732,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
740,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
750,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
760,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
770,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
771,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
775,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
780,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
781,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
790,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
800,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
811,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
812,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
816,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
820,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
830,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
835,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
840,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
850,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
860,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
900,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
910,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
920,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
935,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
940,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
950,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
970,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
971,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
972,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
973,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
983,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
986,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
987,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
990,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
2,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
20,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
31,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
40,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
41,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
42,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
51,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
52,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
