gwcode,year,infmort,infmort_yearadj,infmort_imputed
531,2011,39.2,0.42719204281025924,FALSE
531,2012,38.1,0.44712723918455,FALSE
531,2013,37,0.45337783782978974,FALSE
531,2014,36,0.46015398709948646,FALSE
531,2015,35,0.4639427353265437,FALSE
531,2016,34.1,0.4700875857193257,FALSE
531,2017,33.1,0.4681299628909136,FALSE
531,2018,32.2,0.4692517669970792,FALSE
531,2019,31.3,0.4699917201295808,FALSE
540,1975,160.36277343793154,1.4757656743455452,TRUE
540,1976,157.0070918757677,1.4771403838695887,TRUE
540,1977,153.68283137594065,1.4760831384647286,TRUE
540,1978,150.38999193845035,1.4899676860247115,TRUE
540,1979,147.1285735632968,1.4985622857665772,TRUE
540,1980,143.89857625048003,1.5083663818058297,TRUE
540,1981,140.7,1.5231022435618546,FALSE
540,1982,139.2,1.5633314287269375,FALSE
540,1983,137.3,1.591442112851301,FALSE
540,1984,135.9,1.631315544645538,FALSE
540,1985,134.7,1.6645564154027859,FALSE
540,1986,133.6,1.6954260362240452,FALSE
540,1987,132.9,1.730567008748232,FALSE
540,1988,132.4,1.7672006215307179,FALSE
540,1989,132,1.8036994938930333,FALSE
540,1990,131.9,1.8526070219023096,FALSE
540,1991,132,1.9827470432322647,FALSE
540,1992,132.1,2.046366906024372,FALSE
540,1993,132.1,2.0963236345280722,FALSE
540,1994,132.2,2.1415863796029364,FALSE
540,1995,132.1,2.1761996899888794,FALSE
540,1996,131.7,2.2272929848597465,FALSE
540,1997,130.8,2.26916847752305,FALSE
540,1998,129.5,2.298988770723253,FALSE
540,1999,127.5,2.3175780597779534,FALSE
540,2000,125.1,2.3417403889829322,FALSE
540,2001,122.2,2.3550510827698754,FALSE
540,2002,118.9,2.356379223599873,FALSE
540,2003,115.1,2.3593217135897055,FALSE
540,2004,110.8,2.3444729320375335,FALSE
540,2005,106.2,2.3174108526861055,FALSE
540,2006,101.3,2.287806858677406,FALSE
540,2007,96.2,2.2241036836357613,FALSE
540,2008,91,2.1505088684263893,FALSE
540,2009,85.8,2.0629236739391072,FALSE
540,2010,80.7,1.9818899670348167,FALSE
540,2011,76,1.8586755005434206,FALSE
540,2012,71.5,1.8035563951966076,FALSE
540,2013,67.3,1.7232476150779727,FALSE
540,2014,63.6,1.6513403560897972,FALSE
540,2015,60.5,1.5963336708654656,FALSE
540,2016,57.8,1.5525351372232046,FALSE
540,2017,55.5,1.5192321311479782,FALSE
540,2018,53.4,1.489785318134702,FALSE
540,2019,51.6,1.4738622479991068,FALSE
541,1975,179,1.8285434017617794,FALSE
541,1976,178.2,1.8845592658208783,FALSE
541,1977,177.4,1.9398658073068291,FALSE
541,1978,176.6,2.0126952192002543,FALSE
541,1979,176.3,2.091284810236015,FALSE
541,1980,175.9,2.1714933235661587,FALSE
541,1981,175.7,2.264439830756128,FALSE
541,1982,175.3,2.341780614350016,FALSE
541,1983,174.7,2.411522734705927,FALSE
541,1984,173.8,2.4739274996276435,FALSE
541,1985,172.4,2.513906521003489,FALSE
541,1986,170.6,2.5389951519959904,FALSE
541,1987,168.7,2.5553388723438557,FALSE
541,1988,166.7,2.565035704074477,FALSE
541,1989,164.7,2.5710193432842816,FALSE
541,1990,162.7,2.584174460543639,FALSE
541,1991,160.6,2.687737130150099,FALSE
541,1992,158.3,2.698572478500137,FALSE
541,1993,155.5,2.685011480391861,FALSE
541,1994,152.3,2.6522564977555443,FALSE
541,1995,148.6,2.5985010957889867,FALSE
541,1996,144.1,2.5497210921050284,FALSE
541,1997,138.7,2.4780210547122166,FALSE
541,1998,132.4,2.3768729316840953,FALSE
541,1999,125.9,2.273811615125714,FALSE
541,2000,119.6,2.187709951646121,FALSE
541,2001,113.4,2.1024371197228877,FALSE
541,2002,107.5,2.0200444606484322,FALSE
541,2003,102,1.9603847743828593,FALSE
541,2004,97.1,1.9135784325369385,FALSE
541,2005,92.6,1.8751117218761022,FALSE
541,2006,88.5,1.8571388963658935,FALSE
541,2007,84.7,1.824434637981374,FALSE
541,2008,79.9,1.7523869683023048,FALSE
541,2009,76.9,1.7341171559505208,FALSE
541,2010,73.6,1.7104572589990052,FALSE
541,2011,72.3,1.714749174630032,FALSE
541,2012,68.5,1.681721441063788,FALSE
541,2013,65.7,1.6561917852562869,FALSE
541,2014,63.1,1.629760892883451,FALSE
541,2015,61.2,1.6274189122332008,FALSE
541,2016,59.3,1.6210444759259819,FALSE
541,2017,57.5,1.6130805390280734,FALSE
541,2018,55.5,1.5908759057473911,FALSE
541,2019,54,1.592546448338361,FALSE
551,1964,116.2,0.19662275639120075,FALSE
551,1965,114.8,0.20794594146816336,FALSE
551,1966,113.8,0.24184163519291918,FALSE
551,1967,113,0.26981172084733096,FALSE
551,1968,112.4,0.28971329819060576,FALSE
551,1969,111.7,0.3176518769873725,FALSE
551,1970,110.5,0.3441501968389229,FALSE
551,1971,108.6,0.3583316437580909,FALSE
551,1972,106.1,0.35557746740175467,FALSE
551,1973,103.2,0.3533818834824031,FALSE
551,1974,100.2,0.3230685221291578,FALSE
551,1975,97.6,0.28775046693068584,FALSE
551,1976,95.6,0.2966318586002801,FALSE
551,1977,94.5,0.3187792494447813,FALSE
551,1978,94.3,0.371319303583553,FALSE
551,1979,94.7,0.4332871082157835,FALSE
551,1980,95.3,0.5013166487960476,FALSE
551,1981,95.7,0.5699539171692176,FALSE
551,1982,96,0.6317800487015369,FALSE
551,1983,96.8,0.7033868939980289,FALSE
551,1984,98.2,0.7931500907451325,FALSE
551,1985,100.1,0.8850467694138122,FALSE
551,1986,102.5,0.9863719956697888,FALSE
551,1987,105.1,1.0901017068499539,FALSE
