gwcode,year,for_year,outcome,observed,p
490,2015,2016,coup,0,0.021916666666666668
500,2015,2016,coup,0,0.008583333333333333
501,2015,2016,coup,0,0.0105
510,2015,2016,coup,0,0.005583333333333333
516,2015,2016,coup,0,0.06458333333333334
517,2015,2016,coup,0,0.024
520,2015,2016,coup,0,0.04025
522,2015,2016,coup,0,0.006083333333333334
530,2015,2016,coup,0,0.00675
531,2015,2016,coup,0,0.006166666666666666
540,2015,2016,coup,0,0.011166666666666667
541,2015,2016,coup,0,0.007416666666666667
551,2015,2016,coup,0,0.001
552,2015,2016,coup,0,0.02316666666666667
553,2015,2016,coup,0,0.00225
560,2015,2016,coup,0,0.00225
565,2015,2016,coup,0,7.5e-4
570,2015,2016,coup,0,0.059666666666666666
571,2015,2016,coup,0,0.002
572,2015,2016,coup,0,0.011
580,2015,2016,coup,0,0.026166666666666664
581,2015,2016,coup,0,0.020833333333333336
590,2015,2016,coup,0,0.001
600,2015,2016,coup,0,0.0028333333333333335
615,2015,2016,coup,0,0.011583333333333333
616,2015,2016,coup,0,0.014999999999999998
620,2015,2016,coup,0,0.03133333333333334
625,2015,2016,coup,0,0.0535
626,2015,2016,coup,0,0.03175
630,2015,2016,coup,0,0.004583333333333333
640,2015,2016,coup,0,0.029416666666666667
645,2015,2016,coup,0,0.01175
651,2015,2016,coup,0,0.08466666666666665
652,2015,2016,coup,0,0.027416666666666666
660,2015,2016,coup,0,0.009083333333333332
663,2015,2016,coup,0,0.00175
666,2015,2016,coup,0,0.008166666666666666
670,2015,2016,coup,0,0.004916666666666667
678,2015,2016,coup,0,0.04008333333333333
690,2015,2016,coup,0,0.001
692,2015,2016,coup,0,0.013416666666666665
694,2015,2016,coup,0,0.00575
696,2015,2016,coup,0,0.00625
698,2015,2016,coup,0,0.003583333333333333
700,2015,2016,coup,0,0.011666666666666667
701,2015,2016,coup,0,0.00225
702,2015,2016,coup,0,0.0038333333333333336
703,2015,2016,coup,0,0.0016666666666666666
704,2015,2016,coup,0,0.005
705,2015,2016,coup,0,0.0013333333333333333
710,2015,2016,coup,0,0.0021666666666666666
712,2015,2016,coup,0,7.5e-4
731,2015,2016,coup,0,5e-4
732,2015,2016,coup,0,0.001
740,2015,2016,coup,0,0
750,2015,2016,coup,0,0.008
760,2015,2016,coup,0,0.012250000000000002
770,2015,2016,coup,0,0.013666666666666666
771,2015,2016,coup,0,0.024833333333333336
775,2015,2016,coup,0,0.03236666666666667
780,2015,2016,coup,0,0.008666666666666666
781,2015,2016,coup,0,0.028916666666666663
790,2015,2016,coup,0,0.0085
800,2015,2016,coup,0,0.11383333333333333
811,2015,2016,coup,0,0.0015
812,2015,2016,coup,0,0.002
816,2015,2016,coup,0,0.00175
820,2015,2016,coup,0,0
830,2015,2016,coup,0,0.0023333333333333335
840,2015,2016,coup,0,0.00325
850,2015,2016,coup,0,0.005083333333333333
860,2015,2016,coup,0,0.011333333333333334
900,2015,2016,coup,0,0
910,2015,2016,coup,0,0.0035
920,2015,2016,coup,0,0
940,2015,2016,coup,0,0.0031666666666666666
950,2015,2016,coup,0,0.05875000000000001
2,2016,2017,coup,0,2.5e-4
20,2016,2017,coup,0,0
40,2016,2017,coup,0,0.06298333333333334
41,2016,2017,coup,0,0.03946666666666667
42,2016,2017,coup,0,0.01075
51,2016,2017,coup,0,0.0018333333333333333
52,2016,2017,coup,0,0.002
53,2016,2017,coup,0,2.5e-4
70,2016,2017,coup,0,0.0019166666666666666
90,2016,2017,coup,0,0.0085
91,2016,2017,coup,0,0.030983333333333328
92,2016,2017,coup,0,0.0079
93,2016,2017,coup,0,0.0025
94,2016,2017,coup,0,0
95,2016,2017,coup,0,0
100,2016,2017,coup,0,0.002
101,2016,2017,coup,0,0.06073333333333334
110,2016,2017,coup,0,0.0052
115,2016,2017,coup,0,0.012216666666666666
130,2016,2017,coup,0,0.010666666666666668
135,2016,2017,coup,0,0
140,2016,2017,coup,0,0.0044666666666666665
145,2016,2017,coup,0,0.0096
150,2016,2017,coup,0,0.009416666666666667
155,2016,2017,coup,0,0.0035
160,2016,2017,coup,0,0.004333333333333333
165,2016,2017,coup,0,0
200,2016,2017,coup,0,0
205,2016,2017,coup,0,0
210,2016,2017,coup,0,0
211,2016,2017,coup,0,0
212,2016,2017,coup,0,0.00275
220,2016,2017,coup,0,0
225,2016,2017,coup,0,0
230,2016,2017,coup,0,0
235,2016,2017,coup,0,5e-4
260,2016,2017,coup,0,0
290,2016,2017,coup,0,0.004916666666666666
305,2016,2017,coup,0,0
310,2016,2017,coup,0,0.005366666666666667
