Country,Year,GWcode,Coup,Failed,Attempt
Mozambique,2020,541,0.0036553123590215807,0.007045869770326293,0.010675427274496342
Zambia,2020,551,0.015120070412796255,0.013452073247754015,0.028368747365846134
Zimbabwe,2020,552,0.03520407031074973,0.02759581414793757,0.06182839947714092
Malawi,2020,553,0.019814301406629365,0.023858327658193044,0.04319989296954485
South Africa,2020,560,0.0036025967312220564,0.0043227434115592,0.007909767041496861
Namibia,2020,565,0.021014120857188175,0.014720230994308928,0.03542501913833697
Lesotho,2020,570,0.024792568624451367,0.04605582791597065,0.0697065542662594
Botswana,2020,571,0.009043713411334706,0.010324916689590602,0.019275254513388743
Swaziland,2020,572,0.15631895817549385,0.05580956950405905,0.20340443391845558
Madagascar,2020,580,0.017525632273548752,0.016441847896685353,0.03367932639009918
Comoros,2020,581,0.03069255166812066,0.024479894681865007,0.05442109591763237
Mauritius,2020,590,0.003080595277376171,0.0031635016299489983,0.006234351439143976
Morocco,2020,600,0.010026965578107066,0.016719386027442287,0.026578706897365106
Algeria,2020,615,0.04627317294781679,0.05197029818792509,0.09583864053954243
Tunisia,2020,616,0.0029166069384333445,0.003874586258254989,0.006779892551523948
Libya,2020,620,0.0372453292092192,0.028121361565701313,0.06431930140559448
Sudan,2020,625,0.09040653742749853,0.15019532705127864,0.22702322502228037
South Sudan,2020,626,0.027583931168683296,0.045950999849673976,0.07226742180137169
Iran,2020,630,0.009041968698043034,0.008859929321885842,0.01782178681633351
Turkey,2020,640,0.02109380648292917,0.04110980466210479,0.061336448880940496
Iraq,2020,645,0.01261342647163109,0.017224329643524685,0.02962049829967404
Egypt,2020,651,0.04521251306429769,0.063759186010554,0.10608898604438052
Syria,2020,652,0.03202573300692452,0.03364629391151467,0.06459447969295651
Lebanon,2020,660,0.004183903199360558,0.005200979426751737,0.0093631222316489
Jordan,2020,663,0.0019882689723343277,0.007298380785880787,0.009272138614150266
Israel,2020,666,0.0014239298678087543,0.0014119047619047618,0.002833824176352539
Saudi Arabia,2020,670,0.004021459038570333,0.005340002168902424,0.00933998660748464
Yemen Arab Republic,2020,678,0.02153446027260948,0.028295018829863704,0.04922016114356874
Kuwait,2020,690,0.03768342949514615,0.004302108313307667,0.04182341961314881
Bahrain,2020,692,0.06916837343736068,0.039203832951758326,0.10566054103133589
Qatar,2020,694,0.023002604099592393,0.02311353498582601,0.045584467590797366
United Arab Emirates,2020,696,0.041179254574018394,0.02055579437164441,0.06088857665626168
Oman,2020,698,0.005629544123436201,0.003522203641768859,0.009131919364391995
Afghanistan,2020,700,0.03947890242869163,0.0376310080810367,0.07562427961340376
Turkmenistan,2020,701,0.008793134493325604,0.014494228191828808,0.02315991298728671
Tajikistan,2020,702,0.012489102018818391,0.017677156016535477,0.029945486230460786
Kyrgyzstan,2020,703,0.01575802569623758,0.019197644761125707,0.034653153477910224
Uzbekistan,2020,704,0.011866267021023554,0.020902328136745616,0.03252056255073749
Kazakhstan,2020,705,0.014843622132617555,0.010687717647214214,0.02537269533761641
China,2020,710,0.004354422703129596,0.003687882832905716,0.008026246935301226
Mongolia,2020,712,3.034712697689498e-4,0.0010045893719806765,0.001307755777737315
North Korea,2020,731,0.013181918560278621,0.012164733593159359,0.02518629762590547
South Korea,2020,732,0.006176174337574445,0.007946942369224979,0.014074035005276434
Japan,2020,740,0.0020651370713287483,5.588023088023088e-4,0.0026227853767676057
India,2020,750,0.016462892400883233,0.019388711968547752,0.035532410090501065
Bhutan,2020,760,0.0054618509010066875,0.0011404708853238266,0.006596092704397936
Pakistan,2020,770,0.07893772677407583,0.0697330099194415,0.14316617140936252
Bangladesh,2020,771,0.020649388067757866,0.017159517405613774,0.037454571939407676
Myanmar (Burma),2020,775,0.011803035930456276,0.024607665887267788,0.03612025665309198
Sri Lanka,2020,780,0.006578865764323179,0.01037675223234013,0.0168873507366571
Maldives,2020,781,0.045404520903406215,0.02300529477738725,0.06736527129318456
Nepal,2020,790,0.007873717285132163,0.007598036422006675,0.015411928916429821
Thailand,2020,800,0.0449760703346824,0.06038799654152999,0.10264805209638998
Cambodia,2020,811,0.009896507343153966,0.012062578732345857,0.02183970867649779
Laos,2020,812,0.007190320811560607,0.011788635578649377,0.01889419231846892
Vietnam,2020,816,0.002982936668062689,0.006341059139780366,0.00930508083002065
Malaysia,2020,820,0.04898505186702807,0.007199252878408888,0.05583164896978425
Singapore,2020,830,0.003326661206517416,0.009816474970901877,0.013110480090948845
Philippines,2020,840,0.028744126721119926,0.02866827332006023,0.05658835555999265
Indonesia,2020,850,0.03501816789879662,0.020297200507423948,0.05460459763097606
Timor-Leste,2020,860,0.022642290946581906,0.018754289390781515,0.04097194026048095
Australia,2020,900,0.0024594485408678726,0.005325496214312004,0.007771846971286189
Papua New Guinea,2020,910,0.03728056219139111,0.042154312176135446,0.07786333791080882
New Zealand,2020,920,1.0471303053984761e-4,0,1.0471303053984761e-4
Solomon Islands,2020,940,0.007133815367839492,0.008807193162052498,0.01587817963996501
Fiji,2020,950,0.024510094506920006,0.018399105562330757,0.042458236253075245
