Country,Year,GWcode,Coup,Failed,Attempt
Oman,2020,698,0.006674417518204464,0.006361006388157884,0.012992967893891816
Afghanistan,2020,700,0.036932692346601265,0.02995533261944406,0.06578169388227129
Turkmenistan,2020,701,0.011652792788416761,0.010429486108503304,0.021960746256408002
Tajikistan,2020,702,0.015392436546605324,0.012441414402645677,0.027642347267508256
Kyrgyzstan,2020,703,0.01886694459848268,0.012317404831883023,0.030951957635805483
Uzbekistan,2020,704,0.01176839678020889,0.02194583619612196,0.03345596566830141
Kazakhstan,2020,705,0.006133868639862628,0.014721806657660229,0.020765373669343314
China,2020,710,0.0028819037748791182,0.0033327060433373224,0.006205005280089584
Mongolia,2020,712,5.310670558455238e-4,0.0016840027608439115,0.002214175498301198
North Korea,2020,731,0.015778023323093783,0.0098649985300986,0.0254873716763022
South Korea,2020,732,0.010272047036796033,0.005362763858993596,0.015579724333182818
Japan,2020,740,9.657203647839748e-4,0.0012096941603271093,0.002174246298825296
India,2020,750,0.01589290592972406,0.0167731226697507,0.032399454938736694
Bhutan,2020,760,0.005826026825129414,0.001622683688544565,0.007439256714975818
Pakistan,2020,770,0.0637430938452606,0.0616322876092506,0.12144674876153666
Bangladesh,2020,771,0.020436933429580306,0.013271012434707012,0.03343672706661608
Myanmar (Burma),2020,775,0.009843079053071564,0.019908304643234464,0.029555424679890037
Sri Lanka,2020,780,0.007227049163771776,0.007811078978004932,0.014981677089980562
Maldives,2020,781,0.04529714912598457,0.04242186490866362,0.08579742449367808
Nepal,2020,790,0.008285260624950563,0.008868386980082209,0.017080170707579872
Thailand,2020,800,0.053970684429345606,0.05632800458332342,0.10725862805276774
Cambodia,2020,811,0.011843411639397953,0.014123124921238671,0.025799270578559755
Laos,2020,812,0.011690532959415984,0.010905192095749066,0.02246823754754093
Vietnam,2020,816,0.004019099158318083,0.005898924160637679,0.009894314957826762
Malaysia,2020,820,0.03565445141704141,0.00613039210311503,0.04156626775274851
Singapore,2020,830,0.004962309513898504,0.0060581302604613575,0.010990377456931938
Philippines,2020,840,0.022965107651596338,0.025400164228964413,0.047781954374674356
Indonesia,2020,850,0.015570129642856203,0.022233656296887304,0.037457605028766265
Timor-Leste,2020,860,0.01323606891950716,0.01706873850342501,0.030078884423731793
Australia,2020,900,0.0021151196713778374,0.003425725230827297,0.005533599083380677
Papua New Guinea,2020,910,0.03247607848477288,0.02755043490721384,0.05913178330565042
New Zealand,2020,920,1.8598221027258516e-4,3.334483213583805e-4,5.193685161751477e-4
Solomon Islands,2020,940,0.006929969461652511,0.01189411639605662,0.018741659994311117
Fiji,2020,950,0.024190209921653775,0.01598218918024971,0.039785786590625656
